516,508,614
516,510,616
515,506,602
510,514,594
512,516,610
512,510,606
503,502,600
513,500,638
511,494,644
510,492,664
492,484,684
503,486,652
504,478,630
513,482,608
513,480,588
514,474,548
527,466,514
522,464,524
524,462,488
529,470,458
534,474,434
541,494,396
541,538,356
539,572,336
487,778,528
426,580,920
547,532,750
473,492,736
498,494,610
487,488,588
496,500,602
495,500,606
495,500,620
501,496,638
500,488,632
501,488,628
503,482,622
503,474,612
503,466,608
499,460,592
501,454,574
502,452,566
502,446,546
502,444,532
504,444,522
517,444,498
507,440,484
507,444,470
523,448,468
517,464,468
526,474,454
536,512,406
583,570,334
591,674,372
240,670,920
531,516,690
434,492,684
489,502,684
483,500,598
480,500,596
488,504,598
487,502,600
493,504,608
493,498,610
492,494,620
493,494,622
483,484,618
491,482,634
489,482,632
493,482,626
484,472,610
487,468,594
492,460,568
492,456,558
493,456,538
498,450,510
508,454,474
512,456,464
517,468,434
539,496,410
527,520,374
520,606,270
517,890,532
254,742,920
533,522,852
499,490,712
516,498,650
497,498,588
513,508,610
523,516,604
507,498,590
510,522,622
504,512,606
505,514,610
503,510,608
505,510,604
500,504,604
513,510,608
504,506,612
508,508,604
505,504,604
505,508,598
